


   t (Gyr) =  0.001
-----------------------------------------------------------------------------------------
    M/Ms	Teff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   628.   -5.37   2.65  12.25  1.0000  1.0000      16.528      16.165      16.118
  0.0010   942.   -4.72   3.00  11.57  1.0000  1.0000      14.567      14.050      13.441
  0.0020  1285.   -4.14   3.26  12.09  1.0000  1.0000      12.944      12.328      11.778
  0.0030  1553.   -3.75   3.37  12.99  1.0000  1.0000      11.885      11.320      10.765
  0.0040  1747.   -3.48   3.44  13.92  1.0000  1.0000      11.189      10.682      10.130
  0.0050  1901.   -3.27   3.47  14.95  1.0000  1.0000      10.663      10.195       9.672
  0.0060  2004.   -3.13   3.50  15.88  1.0000  1.0000      10.294       9.846       9.351
  0.0070  2098.   -3.00   3.51  16.85  1.0000  1.0000       9.968       9.533       9.065
  0.0080  2159.   -2.89   3.52  17.96  1.0000  1.0000       9.726       9.286       8.831
  0.0090  2207.   -2.81   3.53  18.88  1.0000  1.0000       9.537       9.093       8.650
  0.0100  2251.   -2.73   3.53  19.81  1.0000  1.0000       9.357       8.918       8.483
  0.0120  2321.   -2.61   3.54  21.40  1.0000  1.0000       9.072       8.639       8.219
  0.0150  2400.   -2.46   3.54  24.04  1.0000  1.0000       8.694       8.266       7.861
  0.0200  2484.   -2.28   3.55  27.47  1.0000  1.0000       8.276       7.852       7.464
  0.0300  2598.   -2.17   3.69  28.38  0.9800  1.0000       8.047       7.616       7.250
  0.0400  2746.   -1.94   3.68  33.27  0.7350  1.0000       7.551       7.100       6.741
  0.0500  2768.   -1.64   3.49  46.38  0.9900  1.0000       6.796       6.351       6.000
  0.0600  2824.   -1.60   3.57  46.27  0.6050  1.0000       6.732       6.277       5.939
  0.0700  2853.   -1.48   3.53  52.41  0.5600  1.0000       6.423       5.965       5.636
  0.0720  2858.   -1.45   3.52  53.68  0.5550  1.0000       6.365       5.906       5.579
  0.0750  2833.   -1.39   3.46  58.93  0.9150  1.0000       6.189       5.734       5.404
  0.0800  2869.   -1.37   3.49  58.47  0.5100  1.0000       6.162       5.701       5.379
  0.0900  2867.   -1.29   3.46  64.54  0.4895  1.0000       5.947       5.484       5.165
  0.1000  2856.   -1.19   3.39  73.18  0.8000  1.0000       5.682       5.218       4.904
  0.1100  3023.   -1.08   3.43  73.48  0.3120  1.0000       5.467       4.935       4.680
  0.1300  3072.   -0.96   3.41  82.37  0.1975  1.0000       5.156       4.590       4.359
  0.1500  3120.   -0.85   3.39  90.05  0.1120  1.0000       4.903       4.302       4.091
  0.1750  3163.   -0.76   3.39  97.57  0.0363  1.0000       4.678       4.043       3.847
  0.2000  3193.   -0.70   3.40 102.60  0.0041  1.0000       4.534       3.879       3.691
  0.2500  3242.   -0.61   3.43 110.47  0.0000  1.0000       4.318       3.631       3.453
  0.3000  3281.   -0.53   3.46 118.10  0.0000  1.0000       4.126       3.413       3.246
  0.3500  3318.   -0.46   3.47 125.44  0.0000  1.0000       3.951       3.216       3.058
  0.4000  3357.   -0.39   3.48 132.28  0.0000  1.0000       3.790       3.039       2.888
  0.4500  3388.   -0.34   3.49 138.40  0.0000  1.0000       3.653       2.889       2.745
  0.5000  3427.   -0.28   3.50 144.06  0.0000  1.0000       3.527       2.752       2.608
  0.5700  3485.   -0.21   3.52 151.93  0.0000  1.0000       3.359       2.573       2.423
  0.6000  3507.   -0.17   3.52 155.92  0.0000  1.0000       3.284       2.492       2.342
  0.6200  3525.   -0.15   3.52 157.89  0.0000  1.0000       3.241       2.448       2.295
  0.7000  3593.   -0.08   3.53 164.80  0.0000  1.0000       3.091       2.293       2.132
  0.7500  3632.   -0.04   3.54 169.47  0.0000  1.0000       3.000       2.199       2.036
  0.8000  3670.    0.00   3.55 173.80  0.0000  1.0000       2.917       2.114       1.948
  0.8500  3705.    0.04   3.55 178.34  0.0000  1.0000       2.835       2.031       1.862
  0.9000  3752.    0.03   3.61 171.83  0.0000  1.0000       2.882       2.083       1.914
  0.9500  3776.    0.11   3.56 186.04  0.0000  1.0000       2.689       1.891       1.721
  1.0000  3810.    0.13   3.58 187.82  0.0000  1.0000       2.643       1.849       1.679
  1.0500  3841.    0.17   3.57 193.60  0.0000  1.0000       2.553       1.765       1.595
  1.1000  3871.    0.21   3.57 197.99  0.0000  1.0000       2.480       1.699       1.530
  1.1500  3899.    0.23   3.58 201.14  0.0000  1.0000       2.424       1.648       1.480
  1.2000  3978.    0.28   3.58 203.89  0.0000  1.0000       2.336       1.578       1.414
  1.3000  4098.    0.35   3.60 208.83  0.0000  1.0000       2.272       1.530       1.361
  1.4000  4197.    0.42   3.60 214.98  0.0000  1.0000       2.136       1.424       1.264
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.002
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   549.   -5.67   2.71  11.32  1.0000  1.0000      17.568      17.164      17.778
  0.0010   814.   -5.04   3.07  10.67  1.0000  1.0000      15.374      14.993      14.436
  0.0020  1125.   -4.45   3.34  11.00  1.0000  1.0000      13.741      13.219      12.676
  0.0030  1352.   -4.09   3.47  11.56  1.0000  1.0000      12.760      12.182      11.679
  0.0040  1551.   -3.81   3.56  12.14  1.0000  1.0000      12.013      11.470      10.952
  0.0050  1716.   -3.59   3.61  12.76  1.0000  1.0000      11.438      10.933      10.403
  0.0060  1849.   -3.42   3.65  13.39  1.0000  1.0000      11.010      10.536      10.021
  0.0070  1954.   -3.28   3.67  14.04  1.0000  1.0000      10.666      10.213       9.718
  0.0080  2047.   -3.16   3.69  14.77  1.0000  1.0000      10.352       9.912       9.438
  0.0090  2119.   -3.06   3.70  15.42  1.0000  1.0000      10.118       9.680       9.223
  0.0100  2172.   -2.98   3.71  16.08  1.0000  1.0000       9.941       9.495       9.049
  0.0120  2264.   -2.84   3.73  17.32  1.0000  1.0000       9.626       9.181       8.754
  0.0150  2368.   -2.68   3.73  19.18  1.0000  1.0000       9.240       8.800       8.391
  0.0200  2477.   -2.48   3.74  22.00  0.9950  1.0000       8.775       8.339       7.951
  0.0300  2609.   -2.23   3.75  26.48  0.8500  1.0000       8.190       7.753       7.387
  0.0400  2747.   -1.96   3.70  32.62  0.5100  1.0000       7.593       7.141       6.781
  0.0500  2790.   -1.74   3.61  40.32  0.7600  1.0000       7.075       6.624       6.275
  0.0600  2828.   -1.63   3.60  44.55  0.3000  1.0000       6.810       6.354       6.016
  0.0700  2858.   -1.52   3.57  49.96  0.2255  1.0000       6.522       6.062       5.733
  0.0720  2864.   -1.50   3.57  50.96  0.2090  1.0000       6.471       6.010       5.683
  0.0750  2865.   -1.42   3.51  55.30  0.5100  1.0000       6.291       5.831       5.506
  0.0800  2884.   -1.42   3.55  54.85  0.1520  1.0000       6.285       5.821       5.501
  0.0900  2904.   -1.34   3.53  59.50  0.1030  1.0000       6.082       5.614       5.301
  0.1000  2884.   -1.22   3.45  68.96  0.3220  1.0000       5.780       5.313       5.002
  0.1100  3014.   -1.25   3.59  61.16  0.0005  1.0000       5.888       5.379       5.102
  0.1300  3045.   -1.19   3.63  63.93  0.0000  1.0000       5.756       5.232       4.964
  0.1500  3080.   -1.13   3.65  67.08  0.0000  1.0000       5.610       5.069       4.812
  0.1750  3122.   -1.05   3.66  71.29  0.0000  1.0000       5.428       4.865       4.621
  0.2000  3162.   -0.99   3.67  75.26  0.0000  1.0000       5.263       4.676       4.445
  0.2500  3245.   -0.85   3.68  83.15  0.0000  1.0000       4.946       4.306       4.101
  0.3000  3313.   -0.75   3.69  90.30  0.0000  1.0000       4.686       4.003       3.817
  0.3500  3369.   -0.66   3.69  96.92  0.0000  1.0000       4.467       3.757       3.581
  0.4000  3416.   -0.58   3.70 103.26  0.0000  1.0000       4.278       3.547       3.377
  0.4500  3460.   -0.51   3.70 109.09  0.0000  1.0000       4.117       3.371       3.203
  0.5000  3497.   -0.45   3.71 114.14  0.0000  1.0000       3.984       3.226       3.060
  0.5700  3552.   -0.37   3.71 121.53  0.0000  1.0000       3.798       3.027       2.861
  0.6000  3574.   -0.34   3.71 123.97  0.0000  1.0000       3.735       2.960       2.794
  0.6200  3588.   -0.32   3.71 126.14  0.0000  1.0000       3.685       2.907       2.741
  0.7000  3645.   -0.24   3.72 132.97  0.0000  1.0000       3.525       2.738       2.571
  0.7500  3679.   -0.20   3.73 136.65  0.0000  1.0000       3.440       2.648       2.481
  0.8000  3711.   -0.17   3.73 140.12  0.0000  1.0000       3.360       2.567       2.398
  0.8500  3745.   -0.13   3.74 143.76  0.0000  1.0000       3.279       2.486       2.317
  0.9000  3780.   -0.11   3.76 144.49  0.0000  0.9990       3.243       2.450       2.281
  0.9500  3808.   -0.06   3.74 150.85  0.0000  0.9990       3.127       2.336       2.167
  1.0000  3842.   -0.03   3.75 153.14  0.0000  0.9980       3.068       2.283       2.115
  1.0500  3873.    0.01   3.75 157.89  0.0000  0.9980       2.978       2.198       2.031
  1.1000  3910.    0.04   3.75 160.58  0.0000  0.9980       2.913       2.140       1.974
  1.1500  3998.    0.09   3.76 163.06  0.0000  0.9980       2.814       2.061       1.899
  1.2000  4048.    0.12   3.77 164.46  0.0000  0.9970       2.790       2.045       1.879
  1.3000  4136.    0.18   3.78 168.42  0.0000  0.9980       2.706       1.980       1.814
  1.4000  4211.    0.24   3.79 173.62  0.0000  0.9980       2.584       1.878       1.720
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.003
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   501.   -5.87   2.75  10.86  1.0000  1.0000      18.225      17.761      18.846
  0.0010   734.   -5.26   3.10  10.23  1.0000  1.0000      15.967      15.606      15.334
  0.0020  1025.   -4.65   3.38  10.49  1.0000  1.0000      14.265      13.811      13.246
  0.0030  1241.   -4.29   3.52  10.93  1.0000  1.0000      13.254      12.728      12.241
  0.0040  1415.   -4.03   3.62  11.34  1.0000  1.0000      12.571      12.018      11.546
  0.0050  1580.   -3.80   3.68  11.79  1.0000  1.0000      11.974      11.452      10.957
  0.0060  1721.   -3.62   3.72  12.27  1.0000  1.0000      11.497      11.002      10.492
  0.0070  1842.   -3.46   3.76  12.77  1.0000  1.0000      11.119      10.649      10.145
  0.0080  1943.   -3.34   3.78  13.29  1.0000  1.0000      10.804      10.352       9.862
